agency,db_type,country_name,country,paid,registration_required,government_db,url,notes,blog_post,video_url
Bulgarian Stock Exchange,Business Registry,Bulgaria,BG,False,False,True,http://www.bse-sofia.bg/?page=FinancialReportsOfIssuers,Available: all financial reports of issuers.,,
Daksi,Commercial Register,Bulgaria,BG,True,True,False,http://www.daxy.com/cgi-bin/page.py?ind=news,Available only in Bulgarian,,
Ciela Norma,Commercial Register,Bulgaria,BG,True,True,False,http://www.ciela.net/products.aspx?lang=en&prodID=22,Available: active legislation in Bulgaria and government gazette,,
Ministry of Industry and Commerce,Business Registry,Burkina Faso,BF,False,False,True,http://www.commerce.gov.bf/,Available: limited information on companies is available at request,,
Amchamcam,Commercial Register,Cameroon,CM,False,False,False,http://www.amchamcam.org/,"No search is available, but it is a good point of contact for research about foreign businesses in Cameroon",,
"Ministry of Industry, Mining and Crafts ",Business Registry,Cameroon,CM,False,False,True,http://www.ccima.net/annuaire_fr.php,Some information available at request,,
Canadian Securities Regulators,Business Registry,Canada,CA,False,False,True,http://www.sedar.com/homepage_en.htm,Available: public securities documents,,
The Montreal Exchange,Business Registry,Canada,CA,False,False,True,http://www.tmx.com/en/index.html,Available: reports for all the listed companies,,
Corporate Affairs Registry,Business Registry,Canada,CA,False,False,True,https://www.pxw2.snb.ca/card_online/cardsearch.aspx,Available: basic information on companies from New Brunswick,,
Registry of Joint Stock Companies,Business Registry,Canada,CA,False,False,True,http://www.gov.ns.ca/snsmr/access/business/registry-joint-stock-companies.asp,Available: basic information for companies in Nova Scotia,,
Prince Edward Island Government,Business Registry,Canada,CA,False,False,True,http://www.gov.pe.ca/corporations/index.php,Available: basic information on companies from Prince Edward Island,,
Registry of Enterprises in Québec ,Business Registry,Canada,CA,True,False,True,http://www.registreentreprises.gouv.qc.ca/en/consulter/rechercher/instructions_recherche.aspx,Available: basic information on companies from Québec ,,
Information Services Corp. of Saskatchewan,Business Registry,Canada,CA,True,True,True,https://apps.isc.ca/CobraWeb/CobraLogin.asp,,,
Industry Canada,Business Registry,Canada,CA,False,False,True,https://www.ic.gc.ca/app/scr/cc/CorporationsCanada/fdrlCrpSrch.html?locale=en_CA,Database of federal corporations,,
Cayman Islands General Registry,Business Registry,Cayman Islands,KY,True,True,True,"http://www.ciregistry.gov.ky/portal/page?_pageid=3521,6697230&_dad=portal&_schema=PORTAL",Search and basic company information only available for registered users,,
Cayman Islands Stock Exchange,Business Registry,Cayman Islands,KY,False,False,True,http://www.csx.com.ky/,Available: list of issuing companies (with links to their websites),,
Cayman Islands Monetary Authority,Business Registry,Cayman Islands,KY,False,False,True,http://www.cimoney.com.ky/search/searchforentity.aspx,Available: a list of all licenced entities,,
