agency,db_type,country_name,country,paid,registration_required,government_db,url,notes,blog_post,video_url
Virginia State Corporation Cimmission,Business Registry,United States of America,US,False,False,True,https://sccefile.scc.virginia.gov/Find/Business,Available: search for company name or number with basic company information,,
Washington Secretary of State,Business Registry,United States of America,US,False,False,True,https://www.sos.wa.gov/corps/corps_search.aspx,Available: search for company name or number with basic company information,,
West Virginia Secretary of State,Business Registry,United States of America,US,False,False,True,http://apps.sos.wv.gov/business/corporations/index.aspx,Available: search for company name or number with basic company information,,
Wisconsin Dept. of Financial Institutions,Business Registry,United States of America,US,False,False,True,https://www.wdfi.org/apps/CorpSearch/Search.aspx,Available: search for company name or number with basic company information,,
Wyoming Secretary of State,Business Registry,United States of America,US,False,False,True,https://wyobiz.wy.gov/Business/FilingSearch.aspx,Available: search for company name or number with basic company information,,
Registry of Corporations,Business Registry,Purerto Rico,PR,False,False,True,https://prcorpfiling.f1hst.com/CorporationSearch.aspx,Available: search for company name or number with basic company information,,
Department of Licensing and Consumer Affairs,Business Registry,U.S. Virgin Islands,VI,False,False,True,https://secure.dlca.vi.gov/license/Asps/Search/License_search.aspx,Available: search for company name or number with basic company information,,
General Directorate of Registries,Business Registry,Uruguay,UY,False,False,True,http://www.dgr.gub.uy/,No online search is avalable but information could be obtained at request,,
Directory of Exporters,Business Registry,Venezuela,VE,False,False,True,http://www.venexport.com/index2-es.html,Available: a directory of exporting companies,,
National Procurement Service,Business Registry,Venezuela,VE,False,True,True,http://rncenlinea.snc.gob.ve/reportes/consulta_publica?p=1,Available: a directory of government procurements,,
Registrar of Companies,Business Registry,Israel,IL,True,True,True,http://ecom.gov.il/Counter/alternative/cde/CdeInputPage.aspx?counter=20&catalog=1&category=companyextract&language=he,Available: search only by company number with detailed company information available,,
Israely Corpration Authority,Business Registry,Israel,IL,False,False,True,http://havarot.justice.gov.il/,Available: search by company name to find the company number needed for futher research,,
Israely Corpration Authority,Business Registry,Israel,IL,False,False,True,https://nesach.justice.gov.il/mashkonot/forms/fMashIyunMishkun.aspx,,,
Government of Portugal,Business Registry,Portugal,PT,False,False,True,https://www.portaldaempresa.pt/CVE/Services/Online/Pedidos.aspx?service=PNS,,,
Hong Kong Government,Business Registry,Hong Kong,HK,True,True,True,http://www.gov.hk/en/residents/taxes/etax/services/brn_enquiry.htm,"Available: a procedure for obtaining information about ""unlimited"" companies in Hong Kong",,
Istanbul Chamber of Commerce,Business Registry,Turkey,TR,False,False,True,http://www.ito.org.tr/wps/portal/bilgi-bankasi/detay/?page=fb/sk/tug&prmPageId=BM1.1.3&initView=true,"Available: basic company information, directors, owners, previous owners, list of notifications published in gazette, whole profile available for download in PDF format",,
Visual Business Register,Business Registry,Slovak Republic,SK,False,False,True,http://vorsr.sk/en/,Available: inphographic like registry of Slovak and Czech Republics,,
Datanest,Commercial Register,Slovak Republic,SK,False,False,False,http://datanest.fair-play.sk/en/pages/index,"database with diverse information about the functioning of Slovakia: the governments, bureaus, political parties, economy, but also the relations between the various subjects operating in the country",,
Ministry of Industry,Business Registry,Nepal,NP,False,False,True,http://www.ocr.gov.np/index.php/en/,,,
Court of company registrations,Business Registry,Hungary,HU,False,False,True,http://www.e-cegjegyzek.hu/index.html,Available in Hungarian only,,
Liberia Business Registry,Business Registry,Liberia,LR,False,False,True,http://www.lbr.gov.lr/inf/Public/Products/NameSearch.aspx,Available: search by company name and basic company information,,
The Online Registry of The Gambia,Business Registry,Gambia,GM,False,True,True,http://www.icommerceregistry.com/,,,
Fiji Government,Business Registry,Fiji,FJ,True,True,True,https://www.egov.gov.fj/g2b/Commerce/default.aspx,,,
Office of the Registrar,Business Registry,Republic of Bangladesh,BD,False,False,True,http://www.roc.gov.bd:7781/psp/nc_search?p_user_id=,Available: basic information on joint stock and limited companies,,
Ministry of Industry and Commerce,Business Registry,Kingdom of Bahrain,BH,False,False,True,http://www.moic.gov.bh/MoIC/En/Main/eServices/Commercial+Registration+Inquiry/,,,
Kosovo Business Registration Agency,Business Registry,Republic of Kosovo,KV,False,False,True,http://www.arbk.org/en/Home,"Available: search by company name, company number or owners personal ID",,
Ministry of Industry and Trade,Business Registry,Yemen,YE,False,False,True,http://www.moit.gov.ye/search/,Available only in Arabic,,
Registry of Commerce,Business Registry,Tunisia,TN,False,False,True,http://www.registre-commerce.tn/search/RCCSearch.do?action=getPage&rg_type=PM&search_mode=NORMAL,,,
Business Registration and Licensing Agency,Business Registry,Tanzania,TZ,False,False,True,http://www.brela-tz.org/?section=companies&page=search,,,
Ministry of Commerce,Business Registry,Algeria,DZ,False,False,True,http://sidjilcom.cnrc.dz/portal/public/classic/id_rech_denom,,,
Ministry of Justice and Human Rigths,Business Registry,Argentina,AR,False,False,True,https://www2.jus.gov.ar/igj-homonimia/Principal.aspx,,,
Ministry of Justice,Business Registry,Belarus,BY,False,False,True,http://egr.minjust.by/,Available only in Russian,,
Commercial Registry of São Paulo,Business Registry,Brazil,BR,False,False,True,http://www.jucesp.fazenda.sp.gov.br/,Available only in Portuguese,,
Government of Alagoas,Business Registry,Brazil,BR,False,False,True,http://www.facilita.al.gov.br/consultaprevia,Available only in Portuguese,,
Commercial Registry of Amapá,Business Registry,Brazil,BR,False,False,True,http://www.jucap.ap.gov.br/,Available only in Portuguese,,
Commercial Registry of Bahia,Business Registry,Brazil,BR,True,False,True,http://www.juceb.ba.gov.br/servicos/pesquisa_nome_empresarial,Available only in Portuguese,,
Commercial Registry of Espírito Santo,Business Registry,Brazil,BR,False,True,True,https://www.jucees.es.gov.br/#informacoes_buscaNire.php,Available only in Portuguese,,
Commercial Registry of Mato Grosso,Business Registry,Brazil,BR,False,False,True,http://www.jucemat.mt.gov.br/,Available only in Portuguese,,
Commercial Registry of Pará,Business Registry,Brazil,BR,False,False,True,http://www.jucepa.pa.gov.br/so_consnire.asp,Available only in Portuguese,,
Commercial Registry of Pernambuco,Business Registry,Brazil,BR,False,False,True,http://iged.jucepe.pe.gov.br:8081/,Available only in Portuguese,,
Commercial Registry of Santa Catarina,Business Registry,Brazil,BR,False,True,True,http://www.jucesc.sc.gov.br/index.php/pesquisa-de-nome,Available only in Portuguese,,
