blog_post,government_db,registration_required,video_url,url,country,db_type,agency,paid,notes
,True,False,,http://www.cbrsantiago.cl/portal/general/busquedaInscripcion.do?metodo=init,CL,business,Commercial Registry of Santiago,False,Available: basic company information and some publication of changes
,False,False,,http://www.amchamcam.org/,CM,commercial,Amchamcam,False,"No search is available, but it is a good point of contact for research about foreign businesses in Cameroon"
,True,False,,http://www.moit.gov.ye/search/,YE,business,Ministry of Industry and Trade,False,Available only in Arabic
,False,True,,http://www.daxy.com/cgi-bin/page.py?ind=news,BG,commercial,Daksi,True,Available only in Bulgarian
,True,False,,http://www.apr.gov.rs/eng/Registers/FinancialLeasing/Search.aspx,RS,business,Serbian Business Registers Agency,False,Available: search in latin or cyrillic and financial leasing information
,True,False,,https://icrs.informe.org/nei-sos-icrs/ICRS?MainPage,US,business,Maine Secretary of State,False,Available: search for company name or number with basic company information
,True,False,,http://iged.jucepe.pe.gov.br:8081/,BR,business,Commercial Registry of Pernambuco,False,Available only in Portuguese
,True,False,,http://www.cci.bf/?q=en/entreprise,BF,business,Chamber of Commerce and Industry of Burkina Faso,False,Available: only basic company information
,True,False,,http://www.icris.cr.gov.hk/csci/,HK,business,Integrated Companies Registry Information System,True,"Available: image record (including document index), company particular search, directors index search (company based), register of charges, director particular search etc. "
,True,False,,http://www.bcse.by/,BY,business,Belarusian Currency and Stock Exchange,False,
,True,False,,https://www.sos.nh.gov/corporate/soskb/csearch.asp,US,business,New Hampshire Secretary of State,False,Available: search for company name or number with basic company information
,True,False,,http://www.companies.gov.nu/cms/search-the-register/register-search/banner_template/CNAME,NU,business,Companies Office,False,Available: company search and basic company information
,True,False,,http://en.io.gov.mo/Search/Default.aspx?t=C,MO,business,Government Printing Bureau,False,Available: company search and basic company information
,True,False,,https://fiappl.fi.se/FinansCentralen/search/Search.aspx,SE,business,Finansinspektionen,False,"Available: annual and quarterly reports, stock-affecting information, flagging information"
,True,False,,http://www.svs.cl/sitio/english/mercados/valores.php,CL,business,Chilean Securities and Insurance Supervisor,False,Available: basic information and financial reports of issuers
,True,False,,http://www.jucap.ap.gov.br/,BR,business,Commercial Registry of Amapá,False,Available only in Portuguese
,True,True,,https://www.ssm-einfo.my/,MY,business,Companies Commission of Malaysia,False,Available: company search and basic company information
,True,False,,http://www.gse.com.gh/,GH,business,Ghana Stock Exchange,False,Available: basic information on all listed companies and some reports
,False,True,,http://www.firmenabc.at/,AT,commercial,Firmen ABC,True,"Available: company registration number, UID number, names of representatives, date of incorporation, sales, number of employees"
,False,False,,http://registronacional.com/,GLOBAL,business,Registro Nacional,False,"Original documents and company filings are not available, but it is a good resource for the institutions that might have different kinds of information in Latin America (cars, realestate, businesses etc.)"
,True,False,,http://www.londonstockexchange.com/prices-and-markets/markets/prices.htm,GB,business,London Stock Exchange,False,"Available: list of issuers, detailed company information and reports"
,True,True,,http://www.boe.es/diario_borme/,ES,gazette,Boletín Oficial del Estado,False,Available: the latest issuer of the official gazette
,False,False,,http://www.nrk.no/maktbasen/index.php?lang=en,NO,business,Brennpunkt,False,Available: information on current local and national politicians in Norway
,True,False,,https://adbc.abudhabi.ae/CitizenAccess/Cap/CapHome.aspx?module=Licenses&TabName=LICENSES&FilterName=TRADENAME#SearchLicenses,AE,business,Abu Dhabi Business Center,False,Available: search for business licence by Number
,True,False,,http://kemenperin.go.id/direktori-perusahaan,ID,business,Industrial Comany Directory,False,
,True,False,,http://www.amf-france.org/en_US/Recherche-avancee.html?formId=BDIF,FR,business,Financial Markets Authority,False,Available: financial records of traded companies
,True,False,,http://mblsportal.sos.state.mn.us/,US,business,Minnesota Secretary of State,False,Available: search for company name or number with basic company information
,True,False,,http://www.arubachamber.com/,AW,business,Aruba Chamber of Commerce,False,"Search is free of charge, but docuements are available for purchase"
,False,False,,https://europeanequities.nyx.com/en/members/member-list,GLOBAL,business,NYSE Euronext,False,Provides European equities market listings
,True,False,,https://app.mt.gov/bes/,US,business,Montana Secretary of State,False,Available: search for company name or number with basic company information
,True,False,,http://www.nekretnine.co.me/me/Katastarski_podaci.asp,ME,,Realestate Administration Agency,False,"Available: search only by Unique Personal ID gives all the land property registered in someone's name, its size and any other available details"
,True,False,,http://www-en.kdd.si/,SI,business,Central Securities Clearing Corporation,False,"Available: list of issuers, list of securities"
,True,False,,http://www.sos.state.co.us/biz/BusinessEntityCriteriaExt.do,US,business,Colorado Secretary of State,False,Available: search for company name or number with basic company information
